10,000000 0,02177611522352569000
20,000000 0,04510729013465609000
30,000000 0,06766190409037254000
40,000000 0,08850470233776604000
50,000000 0,10869824336001510000
60,000000 0,12777435055225070000
70,000000 0,14567059432203713000
80,000000 0,16231037777870305000
90,000000 0,17829774786783530000
100,000000 0,19391944769014166000
110,000000 0,20837495329719108000
120,000000 0,22190940898287764000
130,000000 0,23489147418470190000
140,000000 0,24702599345737830000
150,000000 0,25846495364571387000
160,000000 0,26934655125927120000
170,000000 0,27973388376477343000
180,000000 0,28966639467700334000
190,000000 0,89695326501351920000
200,000000 0,92444983578514300000
210,000000 0,95079013075047680000
220,000000 0,24373182328973753000
230,000000 0,24980636573772697000
240,000000 0,35436602025557107000
250,000000 0,36219871154967750000
260,000000 0,07375867226448957000
270,000000 0,07519242148429240000
280,000000 0,07656813347736435000
290,000000 0,07789939220273778000
300,000000 0,07917837237657321000
310,000000 0,08039113761673555000
320,000000 0,08153262551943075000
330,000000 0,08262589606871329000
340,000000 0,03548436045992342500
350,000000 0,37348858770293260000
360,000000 0,60479684205912420000
370,000000 0,19275206420972335000
380,000000 0,22844332635661790000
390,000000 0,23068839961852766000
400,000000 0,24078373325159497000
410,000000 0,24293610167625457000
420,000000 0,19385740762254017000
430,000000 0,19535528019933157000
440,000000 0,19681138669302412000
450,000000 0,19821262245762340000
460,000000 0,19959042440968090000
470,000000 0,20094086236954345000
480,000000 0,20224030334967147000
490,000000 1,59748931089210840000
500,000000 1,15263205518623060000
510,000000 1,15906127401881100000
520,000000 1,16525385751636820000
530,000000 0,80769786507446300000
540,000000 0,81172246647783700000
550,000000 1,08965970444440540000
560,000000 0,89505053843799560000
570,000000 0,89888497068076400000
580,000000 0,50637526829485990000
590,000000 0,43168913382142770000
600,000000 0,43344373363371547000
10,000000 0,00000000002187922760
20,000000 0,01088805868301276300
30,000000 0,03733023046828526400
40,000000 0,07874412069029177000
50,000000 0,13379913612177740000
60,000000 0,20208130035947786000
70,000000 0,28273340650520720000
80,000000 0,37485312941462390000
90,000000 0,47747836937752086000
100,000000 0,59019878622900210000
110,000000 0,71283494231361820000
120,000000 0,84444353360306760000
130,000000 0,98432688811000880000
140,000000 1,13213101839216160000
150,000000 1,28721260493532050000
160,000000 1,44907311085868700000
170,000000 1,61733484675783100000
180,000000 1,79167536203771130000
190,000000 1,97179748984294180000
200,000000 1,02110267258476450000
210,000000 0,09205083415522120000
220,000000 0,81970584663768620000
230,000000 1,01720050005392550000
240,000000 1,21421180576753080000
250,000000 1,50583254607971700000
260,000000 1,79618055960806890000
270,000000 1,80067778866879280000
280,000000 1,80887316636982960000
290,000000 1,82042661998114230000
300,000000 1,83504831855156820000
